epoch;accuracy;loss;precision;recall;val_accuracy;val_loss;val_precision;val_recall
23;0.9867734909057617;0.031270842999219894;0.9908890128135681;0.988023042678833;0.8821229338645935;0.39618435502052307;0.9380216598510742;0.8397828340530396
24;0.9867734909057617;0.031561605632305145;0.9913742542266846;0.9875678420066833;0.8899441361427307;0.384479284286499;0.9063035249710083;0.8857981562614441
25;0.9878911972045898;0.03188077360391617;0.9911977052688599;0.9873008728027344;0.8854748606681824;0.4238802492618561;0.9266517162322998;0.8578221201896667
26;0.9873323440551758;0.03167329356074333;0.9933562278747559;0.9890914559364319;0.881005585193634;0.39853984117507935;0.9455884099006653;0.8334041237831116
27;0.9884500503540039;0.027209749445319176;0.9908676147460938;0.9843370914459229;0.8932960629463196;0.4693862795829773;0.8983279466629028;0.8998141884803772
28;0.9873323440551758;0.02767646498978138;0.9908835291862488;0.9865656495094299;0.8916200995445251;0.4545082747936249;0.8849200010299683;0.9040542244911194
29;0.9880775213241577;0.029462825506925583;0.990433931350708;0.9892541170120239;0.8905028104782104;0.42082321643829346;0.8832976222038269;0.9020046591758728
30;0.9880775213241577;0.027260782197117805;0.992435097694397;0.988476037979126;0.8837988972663879;0.363672137260437;0.9206164479255676;0.8576677441596985
31;0.9864009022712708;0.02760307490825653;0.9893100261688232;0.9867357611656189;0.8815642595291138;0.4188113808631897;0.9280661344528198;0.8511189818382263
32;0.9871460795402527;0.02922268770635128;0.9904934167861938;0.9871066212654114;0.8854748606681824;0.45280757546424866;0.9112494587898254;0.8652770519256592
33;0.9878911972045898;0.027013108134269714;0.9944050908088684;0.9880963563919067;0.8871508240699768;0.38792532682418823;0.9082339406013489;0.8709835410118103
34;0.9888226389884949;0.02581242471933365;0.9921157956123352;0.9920113682746887;0.8843575716018677;0.37744569778442383;0.9207871556282043;0.8551665544509888
35;0.9890089631080627;0.025300314649939537;0.9927246570587158;0.9899242520332336;0.8843575716018677;0.4113064110279083;0.920720636844635;0.8543727993965149
36;0.9888226389884949;0.024544930085539818;0.9892070889472961;0.9911302924156189;0.8804469108581543;0.438265860080719;0.941471517086029;0.8375834226608276
37;0.9875186085700989;0.025710012763738632;0.9917529821395874;0.9868414402008057;0.8692737221717834;0.5175764560699463;0.9522875547409058;0.8135435581207275
38;0.9880775213241577;0.026022616773843765;0.99474036693573;0.9879859685897827;0.8871508240699768;0.39055538177490234;0.8977312445640564;0.879772424697876
39;0.9880775213241577;0.023306310176849365;0.9884368777275085;0.9865119457244873;0.8815642595291138;0.5058521628379822;0.9377497434616089;0.842132568359375
